product,period,year,month,uom,price,geo,price_yoy_change_percent
"Tomatoes, per kilogram",2026-04-01,2026,4,Dollars,6.18,Canada,31.769722814498923
"Beef striploin cuts, per kilogram",2026-04-01,2026,4,Dollars,42.42,Canada,29.28985065528802
"Roasted or ground coffee, 340 grams",2026-04-01,2026,4,Dollars,9.39,Canada,20.69408740359897
"Grapes, per kilogram",2026-04-01,2026,4,Dollars,7.58,Canada,17.15610510046368
"Lemons, unit",2026-04-01,2026,4,Dollars,1.08,Canada,16.129032258064523
"Canned salmon, 213 grams",2026-04-01,2026,4,Dollars,5.63,Canada,14.897959183673448
"Almonds, 200 grams",2026-04-01,2026,4,Dollars,5.57,Canada,14.845360824742285
"Broccoli, unit",2026-04-01,2026,4,Dollars,2.58,Canada,13.656387665198231
"Bananas, per kilogram",2026-04-01,2026,4,Dollars,1.87,Canada,12.650602409638555
"Meatless burgers, 226 grams",2026-04-01,2026,4,Dollars,7.05,Canada,11.727416798732172
"Romaine lettuce, unit",2026-04-01,2026,4,Dollars,4.1,Canada,10.81081081081079
"Celery, unit",2026-04-01,2026,4,Dollars,3.54,Canada,10.624999999999996
"Beef top sirloin cuts, per kilogram",2026-04-01,2026,4,Dollars,28.94,Canada,10.45801526717558
"Frozen strawberries, 600 grams",2026-04-01,2026,4,Dollars,5.25,Canada,10.062893081761024
"Ground beef, per kilogram",2026-04-01,2026,4,Dollars,15.59,Canada,10.021171489061388
